Model code,Brand,Revenue (EUR),Revenue Change (%),Revenue Change (EUR),Units,Units Change (%),Units Change,Price (EUR),Price Change (%),Price Change (EUR),Price index,Price index Change,Act. Num. Dist.,Act. Num. Dist. Change (pp),TPR units,TPR units Change (%),TPR units Change
U55G7LX,SONY,25324.94,0.357,6664.73,22,0.021,0,1145.01,0.329,283.55,160,47,0.003,-0.1,11,-0.433,-8
55UR81006LJ,LOEWE,25207.53,-0.139,-4053.67,120,-0.165,-24,209.38,0.032,6.43,29,3,0.012,-1.1,30,-0.415,-21
75PUS7608,LOEWE,25012.8,1.046,12786.36,66,1.089,34,380.79,-0.02,-7.95,53,2,0.01,0.5,42,1.984,28
TX-65MZT1506,LG,24943.09,2.1,16896.08,25,1.736,16,1012.92,0.133,118.81,141,24,0.01,0.9,,,
UE55AU7172,LG,24733.39,-0.1,-2735.37,23,-0.078,-2,1085.32,-0.023,-25.68,151,5,0.003,0.1,,,
65C839,LG,24650.91,1.056,12663.44,20,1.599,13,1212.34,-0.209,-319.89,169,-32,0.003,0.1,18,,
55A6BG,SONY,24644.27,0.488,8078.24,10,0.302,2,2399,0.143,299.99,335,59,0.008,0.6,0,,
GQ75QN94B,PANASONIC,24576.2,-0.7,-57459,49,-0.7,-114,502.71,-0.002,-1.01,70,4,0.006,-1.1,,,
C2420FS,SAMSUNG,24558.07,3.449,19038.07,20,2.664,14,1241.2,0.214,218.98,173,39,0.003,0.3,,,
L32M8TG,WE. BY LOEWE.,24315.09,6.053,20867.39,15,5.505,13,1625.16,0.084,126.16,227,30,0.004,0.4,,,
55 GOB 9280,LG,24273.9,-0.686,-53048.5,5,-0.687,-11,4854.78,0.001,6.98,677,40,0.001,-1.2,5,-0.474,-4
GQ32LS03T,METZ,24242.64,0.048,1111,109,0.048,5,222.21,0,0,31,2,0.001,0,0,,
32WV2363DA,PANASONIC,24175.9,0.833,10986.07,30,0.881,14,803.19,-0.026,-21.18,112,4,0.002,0,27,5.773,23
50QLED770,SONY,24033.19,-0.082,-2138.13,18,-0.1,-2,1306.15,0.02,25.93,182,14,0.006,0.1,,,
XR-65A84K,SONY,23784.76,-0.642,-42691.22,11,-0.642,-20,2087.4,0.001,1.33,291,17,0.004,-0.3,,,
LDDW32I,SAMSUNG,23644.92,-0.034,-822.98,50,-0.022,-1,472.9,-0.012,-5.93,66,3,0.001,0,50,-0.022,-1
32 VOE 631,WE. BY LOEWE.,23522.34,-0.397,-15478.03,14,-0.343,-7,1733.71,-0.081,-153.72,242,-6,0.003,-0.2,9,1.873,6
TX-42MZW984,PANASONIC,23443.1,-0.458,-19792.5,59,-0.456,-49,397.34,-0.004,-1.55,55,3,0,-0.2,0,,
D32H550M4CWD,SAMSUNG,23379.58,0.856,10782.33,27,1.03,14,865.91,-0.086,-81.12,121,-4,0.012,0.2,22,9.149,19
D43Q660X6CW,METZ,23299,0.403,6688.47,44,0.41,13,529.52,-0.005,-2.87,74,4,0,0,0,,
43QNED756RA,PANASONIC,23208.23,0.523,7968.58,7,0.4,2,3315.46,0.088,267.53,462,62,0.001,0,5,0.225,1
TX-49LXW944,METZ,23203.09,0.227,4289.28,97,0.228,18,239.21,-0.001,-0.21,33,2,0.001,0,0,,
